NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
NS1 MEDIATED EFFECTS ON HOST PATHWAYS%REACTOME DATABASE ID RELEASE 93%168276	NS1 MEDIATED EFFECTS ON HOST PATHWAYS%REACTOME DATABASE ID RELEASE 93%168276	Details ...	36	-0.6789413	-1.8901997	0.001984127	0.40624464	0.407	1893	tags=33%, list=12%, signal=38%	
REGULATION OF SISTER CHROMATID COHESION%GOBP%GO:0007063	REGULATION OF SISTER CHROMATID COHESION%GOBP%GO:0007063	Details ...	15	-0.8190452	-1.8701769	0.0	0.29093695	0.528	947	tags=33%, list=6%, signal=35%	
NLS-BEARING PROTEIN IMPORT INTO NUCLEUS%GOBP%GO:0006607	NLS-BEARING PROTEIN IMPORT INTO NUCLEUS%GOBP%GO:0006607	Details ...	16	-0.7890554	-1.8689178	0.001984127	0.19788124	0.534	386	tags=31%, list=2%, signal=32%	
PROTEIN LOCALIZATION TO MICROTUBULE CYTOSKELETON%GOBP%GO:0072698	PROTEIN LOCALIZATION TO MICROTUBULE CYTOSKELETON%GOBP%GO:0072698	Details ...	34	-0.66783744	-1.8326938	0.0	0.26946262	0.753	1135	tags=38%, list=7%, signal=41%	
NEGATIVE REGULATION OF CHROMOSOME ORGANIZATION%GOBP%GO:2001251	NEGATIVE REGULATION OF CHROMOSOME ORGANIZATION%GOBP%GO:2001251	Details ...	65	-0.584074	-1.8192388	0.0	0.27123362	0.831	1484	tags=25%, list=9%, signal=27%	
MECP2 AND ASSOCIATED RETT SYNDROME%WIKIPATHWAYS_20250810%WP3584%HOMO SAPIENS	MECP2 AND ASSOCIATED RETT SYNDROME%WIKIPATHWAYS_20250810%WP3584%HOMO SAPIENS	Details ...	48	-0.6184789	-1.8090065	0.0018315018	0.2670437	0.873	1564	tags=23%, list=10%, signal=25%	
PRADER WILLI AND ANGELMAN SYNDROME%WIKIPATHWAYS_20250810%WP3998%HOMO SAPIENS	PRADER WILLI AND ANGELMAN SYNDROME%WIKIPATHWAYS_20250810%WP3998%HOMO SAPIENS	Details ...	64	-0.5799997	-1.7937021	0.0	0.2958573	0.923	1893	tags=28%, list=12%, signal=32%	
MICROTUBULE ORGANIZING CENTER LOCALIZATION%GOBP%GO:0061842	MICROTUBULE ORGANIZING CENTER LOCALIZATION%GOBP%GO:0061842	Details ...	20	-0.72607344	-1.788024	0.0	0.28255278	0.935	3056	tags=60%, list=19%, signal=74%	
TRANSPORT OF RIBONUCLEOPROTEINS INTO THE HOST NUCLEUS%REACTOME DATABASE ID RELEASE 93%168271	TRANSPORT OF RIBONUCLEOPROTEINS INTO THE HOST NUCLEUS%REACTOME DATABASE ID RELEASE 93%168271	Details ...	28	-0.68382907	-1.7859263	0.0	0.2602596	0.94	2235	tags=36%, list=14%, signal=41%	
PROTEIN LOCALIZATION TO CYTOSKELETON%GOBP%GO:0044380	PROTEIN LOCALIZATION TO CYTOSKELETON%GOBP%GO:0044380	Details ...	40	-0.6256031	-1.7840875	0.0	0.24049085	0.942	1135	tags=33%, list=7%, signal=35%	
PROTEIN LOCALIZATION TO CENTROSOME%GOBP%GO:0071539	PROTEIN LOCALIZATION TO CENTROSOME%GOBP%GO:0071539	Details ...	21	-0.71852994	-1.7796838	0.0019493178	0.23289835	0.953	1135	tags=43%, list=7%, signal=46%	
POSITIVE REGULATION OF CARDIAC MUSCLE HYPERTROPHY%GOBP%GO:0010613	POSITIVE REGULATION OF CARDIAC MUSCLE HYPERTROPHY%GOBP%GO:0010613	Details ...	21	-0.7169437	-1.779104	0.0018656716	0.21485335	0.954	1077	tags=19%, list=7%, signal=20%	
PROTEIN LOCALIZATION TO MICROTUBULE ORGANIZING CENTER%GOBP%GO:1905508	PROTEIN LOCALIZATION TO MICROTUBULE ORGANIZING CENTER%GOBP%GO:1905508	Details ...	21	-0.71852994	-1.768479	0.003944773	0.23380321	0.973	1135	tags=43%, list=7%, signal=46%	
LEUKOCYTE TETHERING OR ROLLING%GOBP%GO:0050901	LEUKOCYTE TETHERING OR ROLLING%GOBP%GO:0050901	Details ...	17	-0.7468593	-1.7671033	0.0038461538	0.2217945	0.981	1300	tags=18%, list=8%, signal=19%	
NON-MOTILE CILIUM ASSEMBLY%GOBP%GO:1905515	NON-MOTILE CILIUM ASSEMBLY%GOBP%GO:1905515	Details ...	29	-0.6675714	-1.763939	0.0018726592	0.21679078	0.983	2644	tags=52%, list=16%, signal=62%	
CENTROSOME LOCALIZATION%GOBP%GO:0051642	CENTROSOME LOCALIZATION%GOBP%GO:0051642	Details ...	20	-0.72607344	-1.7631388	0.0	0.20631202	0.983	3056	tags=60%, list=19%, signal=74%	
IL2 SIGNALING EVENTS MEDIATED BY STAT5%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%IL2 SIGNALING EVENTS MEDIATED BY STAT5	IL2 SIGNALING EVENTS MEDIATED BY STAT5%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%IL2 SIGNALING EVENTS MEDIATED BY STAT5	Details ...	21	-0.7203721	-1.7618184	0.001984127	0.19770731	0.985	2666	tags=38%, list=16%, signal=45%	
PID_IL2_STAT5_PATHWAY%MSIGDB_C2%PID_IL2_STAT5_PATHWAY	PID_IL2_STAT5_PATHWAY%MSIGDB_C2%PID_IL2_STAT5_PATHWAY	Details ...	20	-0.7253658	-1.7602721	0.0019723866	0.19097036	0.988	2666	tags=40%, list=16%, signal=48%	
POSITIVE REGULATION OF MUSCLE HYPERTROPHY%GOBP%GO:0014742	POSITIVE REGULATION OF MUSCLE HYPERTROPHY%GOBP%GO:0014742	Details ...	21	-0.7169437	-1.7529851	0.0019646366	0.20067236	0.992	1077	tags=19%, list=7%, signal=20%	
ESTROGEN SIGNALING%WIKIPATHWAYS_20250810%WP712%HOMO SAPIENS	ESTROGEN SIGNALING%WIKIPATHWAYS_20250810%WP712%HOMO SAPIENS	Details ...	17	-0.7496179	-1.7507021	0.002008032	0.19657266	0.994	2623	tags=47%, list=16%, signal=56%	
DEFECTIVE TPR MAY CONFER SUSCEPTIBILITY TOWARDS THYROID PAPILLARY CARCINOMA (TPC)%REACTOME DATABASE ID RELEASE 93%5619107	DEFECTIVE TPR MAY CONFER SUSCEPTIBILITY TOWARDS THYROID PAPILLARY CARCINOMA (TPC)%REACTOME DATABASE ID RELEASE 93%5619107		26	-0.6621366	-1.7397854	0.006147541	0.21782342	0.998	2235	tags=35%, list=14%, signal=40%	
INTERACTIONS OF VPR WITH HOST CELLULAR PROTEINS%REACTOME%R-HSA-176033.4	INTERACTIONS OF VPR WITH HOST CELLULAR PROTEINS%REACTOME%R-HSA-176033.4		32	-0.63045186	-1.7381929	0.0	0.21324342	0.998	2235	tags=31%, list=14%, signal=36%	
ENDODERM DIFFERENTIATION%WIKIPATHWAYS_20250810%WP2853%HOMO SAPIENS	ENDODERM DIFFERENTIATION%WIKIPATHWAYS_20250810%WP2853%HOMO SAPIENS		97	-0.523091	-1.7331734	0.0	0.21769755	0.998	3024	tags=32%, list=18%, signal=39%	
SIGNALING EVENTS MEDIATED BY TCPTP%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS MEDIATED BY TCPTP	SIGNALING EVENTS MEDIATED BY TCPTP%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS MEDIATED BY TCPTP		38	-0.61536217	-1.7301375	0.005424955	0.21678786	0.999	2296	tags=32%, list=14%, signal=37%	
VPR-MEDIATED NUCLEAR IMPORT OF PICS%REACTOME%R-HSA-180910.4	VPR-MEDIATED NUCLEAR IMPORT OF PICS%REACTOME%R-HSA-180910.4		30	-0.6381043	-1.726384	0.002074689	0.21902125	0.999	2235	tags=33%, list=14%, signal=39%	
REGULATION OF GLUCOKINASE BY GLUCOKINASE REGULATORY PROTEIN%REACTOME%R-HSA-170822.5	REGULATION OF GLUCOKINASE BY GLUCOKINASE REGULATORY PROTEIN%REACTOME%R-HSA-170822.5		26	-0.6621366	-1.7261356	0.0038461538	0.21128552	0.999	2235	tags=35%, list=14%, signal=40%	
