NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
RESPIRATORY ELECTRON TRANSPORT CHAIN%GOBP%GO:0022904	RESPIRATORY ELECTRON TRANSPORT CHAIN%GOBP%GO:0022904	Details ...	67	0.65344584	2.1232722	0.0	0.003729536	0.003	3986	tags=63%, list=24%, signal=82%	
AEROBIC ELECTRON TRANSPORT CHAIN%GOBP%GO:0019646	AEROBIC ELECTRON TRANSPORT CHAIN%GOBP%GO:0019646	Details ...	61	0.66813207	2.1016922	0.0	0.0025060228	0.004	3986	tags=66%, list=24%, signal=86%	
ELECTRON TRANSPORT CHAIN%GOBP%GO:0022900	ELECTRON TRANSPORT CHAIN%GOBP%GO:0022900	Details ...	74	0.642315	2.0838	0.0	0.0033371008	0.008	2910	tags=49%, list=18%, signal=59%	
MITOCHONDRIAL ATP SYNTHESIS COUPLED ELECTRON TRANSPORT%GOBP%GO:0042775	MITOCHONDRIAL ATP SYNTHESIS COUPLED ELECTRON TRANSPORT%GOBP%GO:0042775	Details ...	62	0.6527418	2.0743086	0.0	0.0031237002	0.01	3986	tags=65%, list=24%, signal=85%	
ATP SYNTHESIS COUPLED ELECTRON TRANSPORT%GOBP%GO:0042773	ATP SYNTHESIS COUPLED ELECTRON TRANSPORT%GOBP%GO:0042773	Details ...	62	0.6527418	2.036394	0.0	0.0060006385	0.024	3986	tags=65%, list=24%, signal=85%	
OXIDATIVE PHOSPHORYLATION%GOBP%GO:0006119	OXIDATIVE PHOSPHORYLATION%GOBP%GO:0006119	Details ...	77	0.599494	1.9512731	0.0	0.027493112	0.126	3776	tags=60%, list=23%, signal=77%	
ELECTRON TRANSPORT CHAIN OXPHOS SYSTEM IN MITOCHONDRIA%WIKIPATHWAYS_20250810%WP111%HOMO SAPIENS	ELECTRON TRANSPORT CHAIN OXPHOS SYSTEM IN MITOCHONDRIA%WIKIPATHWAYS_20250810%WP111%HOMO SAPIENS	Details ...	59	0.6104222	1.9343108	0.0	0.032856263	0.171	4226	tags=64%, list=26%, signal=86%	
MITOCHONDRIAL ELECTRON TRANSPORT, NADH TO UBIQUINONE%GOBP%GO:0006120	MITOCHONDRIAL ELECTRON TRANSPORT, NADH TO UBIQUINONE%GOBP%GO:0006120	Details ...	36	0.67899454	1.9282331	0.0	0.03155095	0.188	2797	tags=56%, list=17%, signal=67%	
AEROBIC RESPIRATION%GOBP%GO:0009060	AEROBIC RESPIRATION%GOBP%GO:0009060	Details ...	135	0.54267585	1.92392	0.0	0.030782817	0.205	3776	tags=51%, list=23%, signal=66%	
CELLULAR RESPIRATION%GOBP%GO:0045333	CELLULAR RESPIRATION%GOBP%GO:0045333	Details ...	145	0.5341707	1.9156572	0.0	0.03254519	0.237	3776	tags=50%, list=23%, signal=65%	
RESPIRATORY ELECTRON TRANSPORT%REACTOME DATABASE ID RELEASE 93%611105	RESPIRATORY ELECTRON TRANSPORT%REACTOME DATABASE ID RELEASE 93%611105	Details ...	130	0.5263946	1.8663431	0.0	0.079155214	0.5	3498	tags=51%, list=21%, signal=64%	
TBC RABGAPS%REACTOME%R-HSA-8854214.2	TBC RABGAPS%REACTOME%R-HSA-8854214.2	Details ...	40	0.62867934	1.8618963	0.0	0.07777136	0.519	1485	tags=30%, list=9%, signal=33%	
DISEASES ASSOCIATED WITH GLYCOSAMINOGLYCAN METABOLISM%REACTOME%R-HSA-3560782.5	DISEASES ASSOCIATED WITH GLYCOSAMINOGLYCAN METABOLISM%REACTOME%R-HSA-3560782.5	Details ...	36	0.63928175	1.8579649	0.0	0.07753581	0.557	1640	tags=28%, list=10%, signal=31%	
PROTON MOTIVE FORCE-DRIVEN ATP SYNTHESIS%GOBP%GO:0015986	PROTON MOTIVE FORCE-DRIVEN ATP SYNTHESIS%GOBP%GO:0015986	Details ...	56	0.589355	1.8540227	0.0	0.076890804	0.581	2809	tags=50%, list=17%, signal=60%	
2Q11 2 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250810%WP5221%HOMO SAPIENS	2Q11 2 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250810%WP5221%HOMO SAPIENS	Details ...	22	0.7298768	1.8518798	0.002079002	0.07483401	0.596	3245	tags=64%, list=20%, signal=79%	
NUCLEOSIDE TRIPHOSPHATE BIOSYNTHETIC PROCESS%GOBP%GO:0009142	NUCLEOSIDE TRIPHOSPHATE BIOSYNTHETIC PROCESS%GOBP%GO:0009142	Details ...	72	0.57362413	1.8445688	0.0	0.07884434	0.638	2809	tags=46%, list=17%, signal=55%	
ABORTIVE ELONGATION OF HIV-1 TRANSCRIPT IN THE ABSENCE OF TAT%REACTOME%R-HSA-167242.4	ABORTIVE ELONGATION OF HIV-1 TRANSCRIPT IN THE ABSENCE OF TAT%REACTOME%R-HSA-167242.4	Details ...	22	0.70952415	1.8437535	0.0020920502	0.075307555	0.643	1869	tags=45%, list=11%, signal=51%	
PROTON TRANSMEMBRANE TRANSPORT%GOBP%GO:1902600	PROTON TRANSMEMBRANE TRANSPORT%GOBP%GO:1902600	Details ...	42	0.6348604	1.8402532	0.0	0.076525465	0.666	3623	tags=50%, list=22%, signal=64%	
PAUSING AND RECOVERY OF TAT-MEDIATED HIV ELONGATION%REACTOME%R-HSA-167238.4	PAUSING AND RECOVERY OF TAT-MEDIATED HIV ELONGATION%REACTOME%R-HSA-167238.4	Details ...	29	0.66557044	1.8397287	0.004282655	0.07334736	0.67	1869	tags=41%, list=11%, signal=47%	
PURINE RIBONUCLEOSIDE TRIPHOSPHATE BIOSYNTHETIC PROCESS%GOBP%GO:0009206	PURINE RIBONUCLEOSIDE TRIPHOSPHATE BIOSYNTHETIC PROCESS%GOBP%GO:0009206	Details ...	63	0.5723464	1.8383485	0.0	0.07136187	0.678	2809	tags=49%, list=17%, signal=59%	
