"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","anatomical structure development","GO:0048856","2.1742115054795297e-11","10.662698210390163","5997","1323","505","21026",
"GO:BP","response to stress","GO:0006950","2.1742115054795297e-11","10.662698210390163","3948","1323","360","21026",
"GO:BP","developmental process","GO:0032502","1.845843663163319e-10","9.733805085054797","6553","1323","536","21026",
"GO:BP","transport","GO:0006810","3.4877923177734565e-10","9.457449383237831","4407","1323","386","21026",
"GO:BP","response to stimulus","GO:0050896","6.87644268740831e-10","9.162636172341296","8999","1323","692","21026",
"GO:BP","multicellular organism development","GO:0007275","7.470413464161465e-9","8.126655360669941","4727","1323","401","21026",
"GO:BP","tissue development","GO:0009888","1.0487578083224313e-8","7.979324792696048","2032","1323","203","21026",
"GO:BP","cellular response to stimulus","GO:0051716","1.4204325097268547e-8","7.84757939647081","7376","1323","578","21026",
"GO:BP","positive regulation of biological process","GO:0048518","4.254747525485167e-8","7.371126205624466","6264","1323","501","21026",
"GO:BP","localization","GO:0051179","1.2946297482278868e-7","6.887854417909172","5555","1323","450","21026",
"GO:BP","animal organ development","GO:0048513","2.4724373955705005e-7","6.606874696334421","3085","1323","275","21026",
"GO:BP","establishment of localization","GO:0051234","3.6792755321627425e-7","6.4342376876738605","4928","1323","404","21026",
"GO:BP","system development","GO:0048731","5.417788640535347e-7","6.266177941724349","4053","1323","342","21026",
"GO:BP","cell differentiation","GO:0030154","6.815264736965704e-7","6.166517269459495","4437","1323","368","21026",
"GO:BP","cellular developmental process","GO:0048869","6.815264736965704e-7","6.166517269459495","4438","1323","368","21026",
"GO:BP","regulation of transport","GO:0051049","7.027373889682372e-7","6.1532069393180295","1607","1323","161","21026",
"GO:BP","phosphate-containing compound metabolic process","GO:0006796","7.027373889682372e-7","6.1532069393180295","2407","1323","222","21026",
"GO:BP","phosphorus metabolic process","GO:0006793","7.405310756400641e-7","6.130456712030248","2410","1323","222","21026",
"GO:BP","positive regulation of cellular process","GO:0048522","8.694408837793973e-7","6.060759941805265","5920","1323","468","21026",
"GO:BP","regulation of response to stimulus","GO:0048583","0.0000010536513505885004","5.977303071822105","3993","1323","335","21026",
"GO:BP","locomotion","GO:0040011","0.0000010536513505885004","5.977303071822105","1255","1323","132","21026",
"GO:BP","response to external stimulus","GO:0009605","0.0000011106587412184671","5.954419361016155","2415","1323","221","21026",
"GO:BP","cell population proliferation","GO:0008283","0.0000011106587412184671","5.954419361016155","2015","1323","191","21026",
"GO:BP","regulation of localization","GO:0032879","0.0000011106587412184671","5.954419361016155","2029","1323","192","21026",
"GO:BP","cell surface receptor signaling pathway","GO:0007166","0.0000014386634860131934","5.842040778862946","2819","1323","250","21026",
"GO:BP","cell communication","GO:0007154","0.000001514758942386287","5.819656474964421","6540","1323","507","21026",
"GO:BP","cell motility","GO:0048870","0.0000015519514202014635","5.809121877323089","1793","1323","173","21026",
"GO:BP","signaling","GO:0023052","0.0000015519514202014635","5.809121877323089","6515","1323","505","21026",
"GO:BP","cell migration","GO:0016477","0.0000015519514202014635","5.809121877323089","1534","1323","153","21026",
"GO:BP","cell adhesion","GO:0007155","0.000002097627244406096","5.678271684912958","1530","1323","152","21026",
"GO:BP","regulation of cell population proliferation","GO:0042127","0.000002097627244406096","5.678271684912958","1685","1323","164","21026",
"GO:BP","multicellular organismal process","GO:0032501","0.00000412589093557894","5.384482256416739","7322","1323","555","21026",
"GO:BP","regulation of cell migration","GO:0030334","0.000004215184088939727","5.375183453764059","960","1323","105","21026",
"GO:BP","circulatory system development","GO:0072359","0.00000439166739226421","5.357370559080319","1145","1323","120","21026",
"GO:BP","transmembrane transport","GO:0055085","0.000004716918586406689","5.32634161957356","1578","1323","154","21026",
"GO:BP","biological regulation","GO:0065007","0.000005524031944826542","5.257743818612274","12743","1323","895","21026",
"GO:BP","regulation of MAPK cascade","GO:0043408","0.000005524031944826542","5.257743818612274","637","1323","77","21026",
"GO:BP","regulation of locomotion","GO:0040012","0.000005995313602796803","5.222188094900074","1067","1323","113","21026",
"GO:BP","MAPK cascade","GO:0000165","0.000006373899488710048","5.195594789284433","744","1323","86","21026",
"GO:BP","regulation of cell motility","GO:2000145","0.00000673717050198972","5.171522461533133","1022","1323","109","21026",
"GO:BP","defense response","GO:0006952","0.00000673717050198972","5.171522461533133","1853","1323","174","21026",
"GO:BP","regulation of cell communication","GO:0010646","0.00000673717050198972","5.171522461533133","3486","1323","293","21026",
"GO:BP","cell development","GO:0048468","0.000007839334295989296","5.105720815358104","2876","1323","249","21026",
"GO:BP","inflammatory response","GO:0006954","0.000010867385775915356","4.963874915862257","862","1323","95","21026",
"GO:BP","protein metabolic process","GO:0019538","0.00001189689013523322","4.924566548995397","4721","1323","377","21026",
"GO:BP","regulation of biological process","GO:0050789","0.000012762358492382543","4.8940690602874515","12336","1323","867","21026",
"GO:BP","signal transduction","GO:0007165","0.00001349715458907562","4.869757777913242","6002","1323","463","21026",
"GO:BP","regulation of signaling","GO:0023051","0.00001489555892082511","4.8269431962639056","3478","1323","290","21026",
"GO:BP","small molecule metabolic process","GO:0044281","0.00001695442853915892","4.7707168438376755","1776","1323","166","21026",
"GO:BP","blood vessel development","GO:0001568","0.000020081571328094653","4.697202307840696","732","1323","83","21026",
"GO:BP","negative regulation of biological process","GO:0048519","0.00002225655174278794","4.652542121002365","5834","1323","450","21026",
"GO:BP","export from cell","GO:0140352","0.000023323677915350548","4.632202964530696","928","1323","99","21026",
"GO:BP","positive regulation of response to stimulus","GO:0048584","0.00002773397172335128","4.556987931575411","2331","1323","206","21026",
"GO:BP","organelle organization","GO:0006996","0.000029821598676686182","4.5254690785941944","3594","1323","296","21026",
"GO:BP","positive regulation of locomotion","GO:0040017","0.00003631194812177307","4.439950450733476","603","1323","71","21026",
"GO:BP","tube development","GO:0035295","0.00003812447038316964","4.418796180727507","1101","1323","112","21026",
"GO:BP","monoatomic ion transport","GO:0006811","0.000043057098322760244","4.365955241230489","1282","1323","126","21026",
"GO:BP","inorganic ion transmembrane transport","GO:0098660","0.00004674431881406916","4.330271164633806","944","1323","99","21026",
"GO:BP","regulation of signal transduction","GO:0009966","0.00004696151186974198","4.32825792994364","3034","1323","255","21026",
"GO:BP","vasculature development","GO:0001944","0.00004696151186974198","4.32825792994364","762","1323","84","21026",
"GO:BP","regulation of cellular process","GO:0050794","0.00004696151186974198","4.32825792994364","11946","1323","838","21026",
"GO:BP","anatomical structure morphogenesis","GO:0009653","0.00004774662300307747","4.3210573395355745","2713","1323","232","21026",
"GO:BP","negative regulation of cellular process","GO:0048523","0.00005169291708215374","4.286568959476021","5629","1323","433","21026",
"GO:BP","negative regulation of cell population proliferation","GO:0008285","0.000054204767391027125","4.265962514927225","706","1323","79","21026",
"GO:BP","secretion by cell","GO:0032940","0.00006335286186794985","4.198233761753149","854","1323","91","21026",
"GO:BP","regulation of multicellular organismal process","GO:0051239","0.00007610686012405953","4.118576195006754","2956","1323","248","21026",
"GO:BP","anatomical structure formation involved in morphogenesis","GO:0048646","0.00008333181970155535","4.079189134462411","1199","1323","118","21026",
