NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MMS19	13	23.201021194458008	0.16399907	Yes	
row_1	MAPK3	38	19.871116638183594	0.30367538	Yes	
row_2	CIAO1	87	17.15057373046875	0.422564	Yes	
row_3	TMEM127	162	14.918166160583496	0.52401006	Yes	
row_4	SNRNP200	894	8.730628967285156	0.54142433	Yes	
row_5	PLXNB2	1050	8.11712646484375	0.5896222	Yes	
row_6	ARID5A	1102	7.926425933837891	0.6428106	Yes	
row_7	SEMA4C	1517	6.589431285858154	0.6643562	Yes	
row_8	CNNM4	1571	6.430033206939697	0.70679396	Yes	
row_9	CNNM3	2643	4.015063762664795	0.6699714	Yes	
row_10	ERBB2	2750	3.847196578979492	0.6908303	Yes	
row_11	CIAO2B	3160	3.2916088104248047	0.6892572	Yes	
row_12	ANKRD23	3166	3.2778706550598145	0.7122342	Yes	
row_13	KANSL3	3245	3.1538681983947754	0.7298768	Yes	
row_14	STARD7	3819	2.4845473766326904	0.71256584	No	
row_15	COX11	4111	2.196995496749878	0.71041703	No	
row_16	FER1L5	4392	1.929486870765686	0.70703924	No	
row_17	DUSP2	5925	0.8820652961730957	0.6198384	No	
row_18	ITPRIPL1	7056	0.348835289478302	0.55337584	No	
row_19	COL2A1	7870	0.10396566241979599	0.5045139	No	
row_20	CIAO2A	10240	-0.5655893683433533	0.36400065	No	
row_21	MAPK1	12285	-1.7579468488693237	0.2517844	No	
