NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NDUFS8	85	17.371570587158203	0.051855236	Yes	
row_1	UQCRC1	172	14.744342803955078	0.09502073	Yes	
row_2	MT-ND4	201	14.207987785339355	0.13997163	Yes	
row_3	MT-ND2	207	14.084237098693848	0.18592265	Yes	
row_4	MT-ND1	288	13.009136199951172	0.22375613	Yes	
row_5	UQCC3	469	11.21282958984375	0.24957456	Yes	
row_6	MT-CO2	494	10.999201774597168	0.28423148	Yes	
row_7	NDUFAF1	594	10.328812599182129	0.31210005	Yes	
row_8	NDUFB10	748	9.481441497802734	0.33388326	Yes	
row_9	NDUFV1	885	8.761114120483398	0.3543403	Yes	
row_10	MT-CYB	924	8.62734317779541	0.3803512	Yes	
row_11	NDUFA3	955	8.509718894958496	0.406465	Yes	
row_12	NDUFS2	1024	8.241819381713867	0.42937505	Yes	
row_13	MT-ND3	1056	8.091736793518066	0.45405492	Yes	
row_14	NDUFB1	1063	8.069032669067383	0.48018909	Yes	
row_15	NDUFS3	1070	8.025412559509277	0.50618	Yes	
row_16	COX6B1	1251	7.410064697265625	0.519509	Yes	
row_17	MT-CO3	1334	7.166480541229248	0.53803116	Yes	
row_18	NDUFA5	1418	6.923260688781738	0.5556934	Yes	
row_19	UQCR10	1480	6.70444917678833	0.5739823	Yes	
row_20	NDUFS7	1699	6.039863109588623	0.5804873	Yes	
row_21	NDUFS6	1977	5.370755672454834	0.58118665	Yes	
row_22	NDUFAB1	2128	4.992731094360352	0.58841103	Yes	
row_23	COX4I1	2320	4.598501205444336	0.59183335	Yes	
row_24	NDUFA1	2356	4.531911373138428	0.60457706	Yes	
row_25	NDUFA10	2454	4.379724025726318	0.6130294	Yes	
row_26	UQCRQ	2494	4.294443130493164	0.6247486	Yes	
row_27	NDUFA2	2529	4.24623966217041	0.6366153	Yes	
row_28	COX7C	2789	3.7969725131988525	0.6332466	Yes	
row_29	NDUFS5	2797	3.7811362743377686	0.64523685	Yes	
row_30	COX5B	2900	3.630497932434082	0.6509227	Yes	
row_31	COX5A	2910	3.617452621459961	0.66225314	Yes	
row_32	MT-CO1	3242	3.1581954956054688	0.6523834	Yes	
row_33	CYC1	3252	3.1458182334899902	0.6621648	Yes	
row_34	NDUFB3	3433	2.938842296600342	0.660809	Yes	
row_35	NDUFB7	3652	2.6641342639923096	0.6562271	Yes	
row_36	UQCRH	3724	2.5839531421661377	0.6603716	Yes	
row_37	NDUFA6	3776	2.5290958881378174	0.665559	Yes	
row_38	COX7A2	3969	2.3385605812072754	0.66149783	Yes	
row_39	NDUFC1	3986	2.31791090965271	0.66813207	Yes	
row_40	NDUFB2	4226	2.078390121459961	0.6603422	No	
row_41	UQCRB	4885	1.5491032600402832	0.6251902	No	
row_42	COX7B	4906	1.5241490602493286	0.6289728	No	
row_43	SDHC	4932	1.5055078268051147	0.63238853	No	
row_44	NDUFA4	5172	1.3354206085205078	0.62215847	No	
row_45	NDUFA8	5626	1.0393924713134766	0.5978691	No	
row_46	MT-ND4L	5819	0.9356750249862671	0.58920044	No	
row_47	UQCRHL	6237	0.7235172390937805	0.56607527	No	
row_48	UQCRFS1	6271	0.7042974829673767	0.56637025	No	
row_49	NDUFB9	6351	0.6713346242904663	0.5637439	No	
row_50	CYCS	6668	0.5225549936294556	0.5461353	No	
row_51	SDHB	7336	0.2579271197319031	0.50619227	No	
row_52	COX6C	7439	0.2241639643907547	0.5006907	No	
row_53	NDUFB6	7643	0.16358955204486847	0.4888136	No	
row_54	NDUFB4	7655	0.16244831681251526	0.48867443	No	
row_55	MT-ND5	7791	0.12415824830532074	0.48082635	No	
row_56	NDUFV3	10143	-0.52556973695755	0.33877802	No	
row_57	UQCRC2	11057	-0.9436187148094177	0.286043	No	
row_58	NDUFS4	13020	-2.4421286582946777	0.17407835	No	
row_59	NDUFS1	14224	-4.252884387969971	0.11447708	No	
row_60	MT-ND6	14811	-5.866733074188232	0.09790858	No	
