NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ATP5F1D	14	23.039793014526367	0.035648175	Yes	
row_1	NDUFS8	85	17.371570587158203	0.058874417	Yes	
row_2	UQCRC1	172	14.744342803955078	0.0769547	Yes	
row_3	MT-ND4	201	14.207987785339355	0.09774818	Yes	
row_4	MT-ND2	207	14.084237098693848	0.119758524	Yes	
row_5	MT-ND1	288	13.009136199951172	0.13545784	Yes	
row_6	UCP2	348	12.339010238647461	0.15138538	Yes	
row_7	ATP5ME	449	11.365246772766113	0.16325118	Yes	
row_8	UQCC3	469	11.21282958984375	0.1798515	Yes	
row_9	MT-CO2	494	10.999201774597168	0.19580616	Yes	
row_10	PFKL	535	10.77856731414795	0.21042828	Yes	
row_11	PKM	559	10.603218078613281	0.2258169	Yes	
row_12	FOXK1	592	10.351553916931152	0.24025385	Yes	
row_13	NDUFAF1	594	10.328812599182129	0.2565592	Yes	
row_14	PDHA1	688	9.748600959777832	0.26629332	Yes	
row_15	NDUFB10	748	9.481441497802734	0.27769282	Yes	
row_16	PFKFB4	818	9.07370376586914	0.28783193	Yes	
row_17	IDH3B	859	8.91674518585205	0.29950386	Yes	
row_18	NDUFB11	877	8.828035354614258	0.31244817	Yes	
row_19	NDUFV1	885	8.761114120483398	0.32590076	Yes	
row_20	MT-CYB	924	8.62734317779541	0.33723697	Yes	
row_21	NDUFA3	955	8.509718894958496	0.34887826	Yes	
row_22	MT-ATP6	1010	8.282336235046387	0.35868487	Yes	
row_23	NDUFS2	1024	8.241819381713867	0.37094602	Yes	
row_24	MT-ND3	1056	8.091736793518066	0.38186356	Yes	
row_25	NDUFB1	1063	8.069032669067383	0.39428094	Yes	
row_26	NDUFS3	1070	8.025412559509277	0.4066292	Yes	
row_27	ENO3	1090	7.958351135253906	0.41807255	Yes	
row_28	COX6B1	1251	7.410064697265625	0.41998515	Yes	
row_29	OXA1L	1306	7.2459187507629395	0.42814946	Yes	
row_30	MT-CO3	1334	7.166480541229248	0.4378466	Yes	
row_31	NDUFA5	1418	6.923260688781738	0.4437181	Yes	
row_32	UQCR10	1480	6.70444917678833	0.4505944	Yes	
row_33	MTFR1L	1506	6.6130218505859375	0.4595374	Yes	
row_34	IDH3G	1608	6.309706687927246	0.4633309	Yes	
row_35	NDUFS7	1699	6.039863109588623	0.46737257	Yes	
row_36	SIRT3	1893	5.553726673126221	0.46431637	Yes	
row_37	COX7A1	1921	5.49819278717041	0.47136995	Yes	
row_38	NDUFS6	1977	5.370755672454834	0.47650152	Yes	
row_39	PFKFB2	2042	5.201711654663086	0.48081234	Yes	
row_40	SLC25A14	2048	5.183788299560547	0.48871925	Yes	
row_41	NDUFAB1	2128	4.992731094360352	0.49177742	Yes	
row_42	ENO2	2247	4.751829147338867	0.492058	Yes	
row_43	COX4I1	2320	4.598501205444336	0.4949215	Yes	
row_44	SURF1	2335	4.568444728851318	0.5013005	Yes	
row_45	NDUFA1	2356	4.531911373138428	0.507253	Yes	
row_46	NDUFA10	2454	4.379724025726318	0.508234	Yes	
row_47	UQCRQ	2494	4.294443130493164	0.512643	Yes	
row_48	NDUFA2	2529	4.24623966217041	0.5172828	Yes	
row_49	MDH2	2588	4.130163669586182	0.5202642	Yes	
row_50	COX7C	2789	3.7969725131988525	0.5139943	Yes	
row_51	NDUFS5	2797	3.7811362743377686	0.51955575	Yes	
row_52	ATP5F1B	2809	3.7693161964416504	0.52485275	Yes	
row_53	COX5B	2900	3.630497932434082	0.52507657	Yes	
row_54	COX5A	2910	3.617452621459961	0.5302558	Yes	
row_55	PFKFB3	2985	3.532590627670288	0.53130746	Yes	
row_56	HK3	3171	3.272216558456421	0.5251275	Yes	
row_57	ADPGK	3220	3.204072952270508	0.52725583	Yes	
row_58	MT-CO1	3242	3.1581954956054688	0.5309701	Yes	
row_59	CYC1	3252	3.1458182334899902	0.535402	Yes	
row_60	LDHA	3427	2.9438059329986572	0.5293774	Yes	
row_61	NDUFB3	3433	2.938842296600342	0.53372705	Yes	
row_62	ATP5F1E	3519	2.8370187282562256	0.53300077	Yes	
row_63	OGDH	3579	2.7636873722076416	0.5337555	Yes	
row_64	TPI1	3621	2.717494010925293	0.5355428	Yes	
row_65	NDUFB7	3652	2.6641342639923096	0.53792137	Yes	
row_66	UQCRH	3724	2.5839531421661377	0.5376541	Yes	
row_67	ATP5PF	3730	2.5785155296325684	0.5414328	Yes	
row_68	NDUFA6	3776	2.5290958881378174	0.54267585	Yes	
row_69	COX7A2	3969	2.3385605812072754	0.5345864	No	
row_70	NDUFC1	3986	2.31791090965271	0.5372764	No	
row_71	PGAM1	4063	2.24609637260437	0.5361666	No	
row_72	FH	4225	2.079033136367798	0.52957034	No	
row_73	NDUFB2	4226	2.078390121459961	0.5328637	No	
row_74	CSKMT	4391	1.9300106763839722	0.525847	No	
row_75	GPI	4574	1.7873365879058838	0.51749843	No	
row_76	MDH1	4597	1.7649555206298828	0.5189436	No	
row_77	ENO1	4797	1.618272066116333	0.50928277	No	
row_78	UQCRB	4885	1.5491032600402832	0.50639284	No	
row_79	COX7B	4906	1.5241490602493286	0.5075793	No	
row_80	GAPDH	4918	1.512305736541748	0.5092999	No	
row_81	SDHC	4932	1.5055078268051147	0.51088685	No	
row_82	FOXK2	4998	1.4531075954437256	0.5091963	No	
row_83	C2orf69	5105	1.384682536125183	0.5048786	No	
row_84	NDUFA4	5172	1.3354206085205078	0.5029401	No	
row_85	PGK1	5178	1.331542730331421	0.50474286	No	
row_86	PGM1	5223	1.3048114776611328	0.5041074	No	
row_87	NDUFA8	5626	1.0393924713134766	0.48105848	No	
row_88	ACO2	5752	0.9766982197761536	0.47492704	No	
row_89	MT-ND4L	5819	0.9356750249862671	0.47235516	No	
row_90	ATP5F1A	5891	0.9001001715660095	0.46941972	No	
row_91	UQCRHL	6237	0.7235172390937805	0.44937193	No	
