NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ATP5F1D	14	23.039793014526367	0.03352017	Yes	
row_1	NDUFS8	85	17.371570587158203	0.05513969	Yes	
row_2	UQCRC1	172	14.744342803955078	0.07185525	Yes	
row_3	MT-ND4	201	14.207987785339355	0.091335714	Yes	
row_4	MT-ND2	207	14.084237098693848	0.11204533	Yes	
row_5	MT-ND1	288	13.009136199951172	0.12654038	Yes	
row_6	UCP2	348	12.339010238647461	0.14132631	Yes	
row_7	ATP5ME	449	11.365246772766113	0.15213887	Yes	
row_8	UQCC3	469	11.21282958984375	0.1677031	Yes	
row_9	MT-CO2	494	10.999201774597168	0.1826412	Yes	
row_10	PFKL	535	10.77856731414795	0.19626653	Yes	
row_11	PKM	559	10.603218078613281	0.21067518	Yes	
row_12	FOXK1	592	10.351553916931152	0.22415507	Yes	
row_13	NDUFAF1	594	10.328812599182129	0.2395066	Yes	
row_14	PDHA1	688	9.748600959777832	0.24833706	Yes	
row_15	ETFB	699	9.71080493927002	0.26221314	Yes	
row_16	NDUFB10	748	9.481441497802734	0.2734111	Yes	
row_17	PFKFB4	818	9.07370376586914	0.28270972	Yes	
row_18	IDH3B	859	8.91674518585205	0.29355678	Yes	
row_19	NDUFB11	877	8.828035354614258	0.30568528	Yes	
row_20	NDUFV1	885	8.761114120483398	0.31832862	Yes	
row_21	MT-CYB	924	8.62734317779541	0.32886675	Yes	
row_22	NDUFA3	955	8.509718894958496	0.3397211	Yes	
row_23	MT-ATP6	1010	8.282336235046387	0.3487609	Yes	
row_24	NDUFS2	1024	8.241819381713867	0.36026052	Yes	
row_25	MT-ND3	1056	8.091736793518066	0.3704297	Yes	
row_26	NDUFB1	1063	8.069032669067383	0.38210174	Yes	
row_27	NDUFS3	1070	8.025412559509277	0.39370874	Yes	
row_28	ENO3	1090	7.958351135253906	0.4044165	Yes	
row_29	COX6B1	1251	7.410064697265625	0.4056388	Yes	
row_30	OXA1L	1306	7.2459187507629395	0.413132	Yes	
row_31	MT-CO3	1334	7.166480541229248	0.42216638	Yes	
row_32	NDUFA5	1418	6.923260688781738	0.42739546	Yes	
row_33	UQCR10	1480	6.70444917678833	0.43365037	Yes	
row_34	MTFR1L	1506	6.6130218505859375	0.4419818	Yes	
row_35	IDH3G	1608	6.309706687927246	0.44518882	Yes	
row_36	NDUFS7	1699	6.039863109588623	0.44866937	Yes	
row_37	HCCS	1750	5.885244846343994	0.45437804	Yes	
row_38	SIRT3	1893	5.553726673126221	0.4539367	Yes	
row_39	COX7A1	1921	5.49819278717041	0.46048158	Yes	
row_40	NDUFS6	1977	5.370755672454834	0.46511513	Yes	
row_41	PFKFB2	2042	5.201711654663086	0.4689432	Yes	
row_42	SLC25A14	2048	5.183788299560547	0.4763713	Yes	
row_43	CHCHD5	2063	5.129825115203857	0.4831656	Yes	
row_44	NDUFAB1	2128	4.992731094360352	0.48668182	Yes	
row_45	ENO2	2247	4.751829147338867	0.48651913	Yes	
row_46	COX4I1	2320	4.598501205444336	0.48895532	Yes	
row_47	SURF1	2335	4.568444728851318	0.4949119	Yes	
row_48	NDUFA1	2356	4.531911373138428	0.5004452	Yes	
row_49	NDUFA10	2454	4.379724025726318	0.5010181	Yes	
row_50	UQCRQ	2494	4.294443130493164	0.5050291	Yes	
row_51	NDUFA2	2529	4.24623966217041	0.5092755	Yes	
