NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	B3GAT3	46	19.178285598754883	0.15447064	Yes	
row_1	GPC1	590	10.363837242126465	0.20630732	Yes	
row_2	HEXB	770	9.339048385620117	0.2719661	Yes	
row_3	B4GALT7	878	8.817643165588379	0.33774528	Yes	
row_4	BGN	1115	7.866392135620117	0.38784644	Yes	
row_5	CSPG4	1178	7.643060207366943	0.44674072	Yes	
row_6	SDC4	1208	7.53513765335083	0.50676495	Yes	
row_7	B3GALT6	1502	6.627593040466309	0.5432263	Yes	
row_8	SDC1	1544	6.508692741394043	0.59410006	Yes	
row_9	GPC2	1640	6.216690540313721	0.63928175	Yes	
row_10	B4GALT1	2943	3.571687936782837	0.58907115	No	
row_11	HSPG2	3079	3.4007647037506104	0.60871726	No	
row_12	CHST14	3243	3.1581132411956787	0.62466365	No	
row_13	ACAN	5020	1.4428032636642456	0.5280512	No	
row_14	CSPG5	5415	1.1696929931640625	0.5135856	No	
row_15	GPC4	6049	0.8265979886054993	0.4817127	No	
row_16	CHST3	6172	0.7611850500106812	0.48050565	No	
row_17	AGRN	6750	0.478729248046875	0.44919932	No	
row_18	LUM	6960	0.39090558886528015	0.4396433	No	
row_19	CHSY1	7984	0.07899179309606552	0.37782547	No	
row_20	PRELP	8617	-0.06095949932932854	0.33973467	No	
row_21	GPC5	9157	-0.19661392271518707	0.30843508	No	
row_22	EXT1	9405	-0.2739065885543823	0.29559922	No	
row_23	SDC2	9543	-0.31381189823150635	0.28980738	No	
row_24	OMD	9574	-0.3213271200656891	0.29061073	No	
row_25	PAPSS2	9897	-0.4343099594116211	0.27451074	No	
row_26	NCAN	10045	-0.4912593960762024	0.2695635	No	
row_27	SDC3	10065	-0.49699875712394714	0.27247918	No	
row_28	FMOD	10135	-0.5230420231819153	0.27255538	No	
row_29	OGN	10372	-0.6202405095100403	0.26323146	No	
row_30	GPC6	10863	-0.858643651008606	0.24035312	No	
row_31	SLC26A2	11099	-0.9622604846954346	0.23389514	No	
row_32	VCAN	12739	-2.1735076904296875	0.1516405	No	
row_33	DCN	13239	-2.7115354537963867	0.14340802	No	
row_34	GPC3	13324	-2.7960550785064697	0.16120908	No	
row_35	EXT2	13712	-3.327303409576416	0.1648653	No	
