NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NDUFS8	85	17.371570587158203	0.044898976	Yes	
row_1	UQCRC1	172	14.744342803955078	0.08215957	Yes	
row_2	MT-ND4	201	14.207987785339355	0.12142306	Yes	
row_3	MT-ND2	207	14.084237098693848	0.16173731	Yes	
row_4	MT-ND1	288	13.009136199951172	0.19436063	Yes	
row_5	UQCC3	469	11.21282958984375	0.21568291	Yes	
row_6	MT-CO2	494	10.999201774597168	0.24593677	Yes	
row_7	NDUFAF1	594	10.328812599182129	0.2696669	Yes	
row_8	ETFB	699	9.71080493927002	0.29130864	Yes	
row_9	NDUFB10	748	9.481441497802734	0.31571627	Yes	
row_10	NDUFV1	885	8.761114120483398	0.3326605	Yes	
row_11	MT-CYB	924	8.62734317779541	0.35521686	Yes	
row_12	CYB561	928	8.596203804016113	0.3798255	Yes	
row_13	NDUFA3	955	8.509718894958496	0.40277708	Yes	
row_14	NDUFS2	1024	8.241819381713867	0.42238542	Yes	
row_15	MT-ND3	1056	8.091736793518066	0.44382545	Yes	
row_16	NDUFB1	1063	8.069032669067383	0.4667301	Yes	
row_17	NDUFS3	1070	8.025412559509277	0.48950893	Yes	
row_18	COX6B1	1251	7.410064697265625	0.49986365	Yes	
row_19	MT-CO3	1334	7.166480541229248	0.5155138	Yes	
row_20	NDUFA5	1418	6.923260688781738	0.5304013	Yes	
row_21	UQCR10	1480	6.70444917678833	0.5460041	Yes	
row_22	NDUFS7	1699	6.039863109588623	0.5500814	Yes	
row_23	HCCS	1750	5.885244846343994	0.5639948	Yes	
row_24	NDUFS6	1977	5.370755672454834	0.5656526	Yes	
row_25	NDUFAB1	2128	4.992731094360352	0.57087165	Yes	
row_26	COX4I1	2320	4.598501205444336	0.5724443	Yes	
row_27	NDUFA1	2356	4.531911373138428	0.5833727	Yes	
row_28	NDUFA10	2454	4.379724025726318	0.5900675	Yes	
row_29	UQCRQ	2494	4.294443130493164	0.6000662	Yes	
row_30	DHRS2	2508	4.2771897315979	0.61160636	Yes	
row_31	NDUFA2	2529	4.24623966217041	0.6226288	Yes	
row_32	COX7C	2789	3.7969725131988525	0.617728	Yes	
row_33	NDUFS5	2797	3.7811362743377686	0.62820476	Yes	
row_34	COX5B	2900	3.630497932434082	0.6324327	Yes	
row_35	COX5A	2910	3.617452621459961	0.642315	Yes	
row_36	MT-CO1	3242	3.1581954956054688	0.6311652	No	
row_37	CYC1	3252	3.1458182334899902	0.63968724	No	
row_38	NDUFB3	3433	2.938842296600342	0.63714653	No	
row_39	NDUFB7	3652	2.6641342639923096	0.63148785	No	
row_40	UQCRH	3724	2.5839531421661377	0.6345948	No	
row_41	NDUFA6	3776	2.5290958881378174	0.63876754	No	
row_42	COX7A2	3969	2.3385605812072754	0.63376117	No	
row_43	NDUFC1	3986	2.31791090965271	0.639467	No	
row_44	NDUFB2	4226	2.078390121459961	0.6308337	No	
row_45	UQCRB	4885	1.5491032600402832	0.5950297	No	
row_46	COX7B	4906	1.5241490602493286	0.59820145	No	
row_47	SDHC	4932	1.5055078268051147	0.60101336	No	
row_48	NDUFA4	5172	1.3354206085205078	0.59023726	No	
row_49	ETFA	5485	1.1189136505126953	0.5743689	No	
row_50	NDUFA8	5626	1.0393924713134766	0.5687982	No	
row_51	MT-ND4L	5819	0.9356750249862671	0.5597457	No	
row_52	UQCRHL	6237	0.7235172390937805	0.5363107	No	
row_53	UQCRFS1	6271	0.7042974829673767	0.53632224	No	
row_54	NDUFB9	6351	0.6713346242904663	0.53342336	No	
row_55	CYCS	6668	0.5225549936294556	0.5155902	No	
row_56	PPARGC1A	7003	0.3735254108905792	0.49622563	No	
row_57	SDHB	7336	0.2579271197319031	0.47665003	No	
row_58	COX6C	7439	0.2241639643907547	0.4710538	No	
row_59	NDUFB6	7643	0.16358955204486847	0.45910135	No	
row_60	NDUFB4	7655	0.16244831681251526	0.45889664	No	
row_61	MT-ND5	7791	0.12415824830532074	0.45099226	No	
row_62	POR	8538	-0.0453949049115181	0.40546557	No	
row_63	ETFDH	8853	-0.11442545056343079	0.38657776	No	
row_64	NDOR1	9055	-0.1650124341249466	0.3747518	No	
row_65	PDIA5	10083	-0.5033806562423706	0.31334788	No	
row_66	NDUFV3	10143	-0.52556973695755	0.31125268	No	
row_67	UQCRC2	11057	-0.9436187148094177	0.2580956	No	
row_68	NDUFS4	13020	-2.4421286582946777	0.14505814	No	
row_69	ENOX2	13159	-2.610041618347168	0.14413969	No	
row_70	FDX1	13889	-3.613968849182129	0.10994555	No	
row_71	NDUFS1	14224	-4.252884387969971	0.10176939	No	
row_72	NDUFA12	14599	-5.235852241516113	0.09398006	No	
row_73	MT-ND6	14811	-5.866733074188232	0.097986385	No	
