NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	JUN	5028	1.43711256980896	-0.28756565	No	
row_1	FOS	5080	1.4024654626846313	-0.272042	No	
row_2	GNB1	7594	0.17718710005283356	-0.42295685	No	
row_3	IKBKB	7989	0.07797903567552567	-0.445951	No	
row_4	BCL2	8769	-0.09615245461463928	-0.49218506	No	
row_5	GNAS	9177	-0.20167312026023865	-0.5143286	No	
row_6	GNGT1	9399	-0.27157166600227356	-0.5241992	No	
row_7	MAP2K1	11836	-1.4233187437057495	-0.6538608	No	
row_8	MAPK1	12285	-1.7579468488693237	-0.6578272	No	
row_9	BRAF	13791	-3.4330039024353027	-0.7040045	Yes	
row_10	MAPK9	14047	-3.863718271255493	-0.66822094	Yes	
row_11	SP1	14056	-3.879608154296875	-0.6171616	Yes	
row_12	CHUK	15439	-8.56246566772461	-0.5876834	Yes	
row_13	NFKB1	15513	-9.07163143157959	-0.47160345	Yes	
row_14	MAPK14	15837	-11.56848430633545	-0.33759618	Yes	
row_15	CREB1	15993	-13.65583610534668	-0.16560844	Yes	
row_16	PIK3CA	16035	-14.382957458496094	0.022993278	Yes	
