NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCND3	4888	1.5457261800765991	-0.27855107	No	
row_1	BCL2L1	5186	1.3241115808486938	-0.2798428	No	
row_2	LCK	5366	1.2035759687423706	-0.27546766	No	
row_3	IL2RB	6229	0.7254393100738525	-0.31883535	No	
row_4	MYC	6266	0.7076039910316467	-0.3120393	No	
row_5	GRB2	6472	0.6047743558883667	-0.31685987	No	
row_6	STAT5A	6835	0.4419229030609131	-0.33332786	No	
row_7	GAB2	6908	0.41516682505607605	-0.33244428	No	
row_8	JAK3	7428	0.22761917114257812	-0.36121348	No	
row_9	CCNA2	7478	0.20873810350894928	-0.36155006	No	
row_10	IL2RA	8433	-0.01639062538743019	-0.4195409	No	
row_11	BCL2	8769	-0.09615245461463928	-0.43875578	No	
row_12	STAT5B	12247	-1.73177170753479	-0.628864	No	
row_13	JAK1	13748	-3.3752949237823486	-0.6774787	Yes	
row_14	SP1	14056	-3.879608154296875	-0.64690506	Yes	
row_15	PIK3R1	14225	-4.257808208465576	-0.6030455	Yes	
row_16	CDK6	15090	-6.93156623840332	-0.5676674	Yes	
row_17	SOS1	15229	-7.5525994300842285	-0.48010737	Yes	
row_18	ELF1	15603	-9.664944648742676	-0.38003978	Yes	
row_19	PIK3CA	16035	-14.382957458496094	-0.22355375	Yes	
row_20	PTPN11	16250	-19.39651107788086	0.009882939	Yes	
