NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MADCAM1	4946	1.4942138195037842	-0.27674747	No	
row_1	ITGB7	5536	1.0941838026046753	-0.29442865	No	
row_2	SELL	6707	0.5022934079170227	-0.3574133	No	
row_3	SELPLG	7155	0.31156522035598755	-0.37948164	No	
row_4	TNF	7177	0.30654165148735046	-0.37565178	No	
row_5	VCAM1	7619	0.1716005653142929	-0.39968768	No	
row_6	SELP	7970	0.08279185742139816	-0.41965404	No	
row_7	JAM2	8629	-0.06313785165548325	-0.45873314	No	
row_8	SELE	9369	-0.2624986469745636	-0.49942875	No	
row_9	PODXL2	10434	-0.648876428604126	-0.5535046	No	
row_10	CX3CR1	11007	-0.9205000996589661	-0.5730446	No	
row_11	GOLPH3	11324	-1.0968058109283447	-0.57403165	No	
row_12	ADD2	11473	-1.1751370429992676	-0.56346637	No	
row_13	GCNT1	12880	-2.3123505115509033	-0.6106676	No	
row_14	ITGA4	15114	-7.060497283935547	-0.62914693	Yes	
row_15	ROCK1	16163	-16.757720947265625	-0.41368073	Yes	
row_16	ITGB1	16363	-25.720197677612305	0.0029885548	Yes	
