NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HDAC1	1826	5.711517810821533	-0.08664917	No	
row_1	GPRIN1	2057	5.150520324707031	-0.078221865	No	
row_2	CNP	2222	4.794558048248291	-0.06731531	No	
row_3	HNRNPH1	2369	4.513586044311523	-0.056535274	No	
row_4	HNRNPF	3585	2.757539987564087	-0.1187426	No	
row_5	NCOR1	3905	2.4032788276672363	-0.12774526	No	
row_6	RBFOX1	4541	1.8213359117507935	-0.15859756	No	
row_7	TAP1	5109	1.3815042972564697	-0.1872145	No	
row_8	GRIA3	5279	1.2611526250839233	-0.19203657	No	
row_9	BCL6	5546	1.0870215892791748	-0.20354599	No	
row_10	RPS6	5588	1.0592589378356934	-0.20142773	No	
row_11	SGK1	5760	0.9751964211463928	-0.20762019	No	
row_12	BDNF	5988	0.8526305556297302	-0.21776958	No	
row_13	MBP	6183	0.7564311027526855	-0.22632237	No	
row_14	TET3	6402	0.6453287601470947	-0.23682667	No	
row_15	MTOR	6755	0.4758204221725464	-0.25625905	No	
row_16	PRPF38A	6798	0.45431044697761536	-0.25684246	No	
row_17	CTCF	7044	0.35309070348739624	-0.27027223	No	
row_18	IGF1R	7327	0.25982168316841125	-0.28637	No	
row_19	CEBPD	7429	0.22761240601539612	-0.29154822	No	
row_20	MYT1	8035	0.06757993251085281	-0.32822236	No	
row_21	CDON	9918	-0.4444080591201782	-0.4412841	No	
row_22	EZH2	9991	-0.46911218762397766	-0.44363606	No	
row_23	FGF2	10691	-0.7726457715034485	-0.48297665	No	
row_24	GAD1	10705	-0.7819355130195618	-0.48035792	No	
row_25	IGF1	10861	-0.8581838011741638	-0.48608342	No	
row_26	FUT8	11499	-1.1973612308502197	-0.51978153	No	
row_27	CAMK2A	12026	-1.5583440065383911	-0.54512125	No	
row_28	NF1	12050	-1.572536587715149	-0.53966266	No	
row_29	TAF1	12425	-1.889756202697754	-0.55426764	No	
row_30	PSIP1	12429	-1.8946974277496338	-0.5461807	No	
row_31	MEF2C	12587	-2.0368261337280273	-0.54688376	No	
row_32	GRIA4	12731	-2.1677870750427246	-0.5461597	No	
row_33	NREP	12839	-2.279653787612915	-0.54274744	No	
row_34	TET1	13737	-3.358307123184204	-0.58290076	No	
row_35	FKBP5	13828	-3.5087130069732666	-0.573085	No	
row_36	SP1	14056	-3.879608154296875	-0.5700218	No	
row_37	REST	14850	-6.009129047393799	-0.59224945	Yes	
row_38	TARDBP	15045	-6.7523512840271	-0.57463044	Yes	
row_39	SP3	15348	-8.059896469116211	-0.55790347	Yes	
row_40	FUS	15502	-8.98935317993164	-0.5280148	Yes	
row_41	PTEN	15821	-11.399853706359863	-0.49768683	Yes	
row_42	CREB1	15993	-13.65583610534668	-0.44852912	Yes	
row_43	UBE3A	16132	-16.15334129333496	-0.38645345	Yes	
row_44	YBX1	16273	-19.862173080444336	-0.30831116	Yes	
row_45	SIN3A	16288	-20.485694885253906	-0.2197479	Yes	
row_46	SMC3	16349	-24.41064453125	-0.11686335	Yes	
row_47	TET2	16382	-27.641204833984375	0.0018333532	Yes	
