NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ENKD1	1099	7.94208288192749	-0.019079778	No	
row_1	FUZ	2578	4.146527290344238	-0.08423026	No	
row_2	CSNK1D	3054	3.440896511077881	-0.092426956	No	
row_3	BBS10	4229	2.075103759765625	-0.15154137	No	
row_4	VANGL2	4560	1.7991136312484741	-0.16081005	No	
row_5	TMEM216	8247	0.020649123936891556	-0.38566086	No	
row_6	RPGRIP1	8514	-0.03770892694592476	-0.4016683	No	
row_7	CEP250	8882	-0.12192146480083466	-0.42333138	No	
row_8	C2CD3	10398	-0.634395956993103	-0.5119657	No	
row_9	BBS4	10862	-0.8584770560264587	-0.53503674	No	
row_10	IFT122	11773	-1.386112093925476	-0.5822018	No	
row_11	TMEM107	11983	-1.5289702415466309	-0.58571786	No	
row_12	TMEM17	12064	-1.5824365615844727	-0.5810372	No	
row_13	TOGARAM1	13407	-2.890669822692871	-0.6454767	No	
row_14	TTC8	13770	-3.401031255722046	-0.6470173	Yes	
row_15	CEP89	14032	-3.8312525749206543	-0.6397934	Yes	
row_16	CC2D2A	14163	-4.128870964050293	-0.6227752	Yes	
row_17	CC2D2B	14214	-4.238409519195557	-0.60021216	Yes	
row_18	GORAB	14459	-4.84433126449585	-0.5858281	Yes	
row_19	IFT88	14810	-5.85429573059082	-0.57181007	Yes	
row_20	DISC1	15006	-6.548366546630859	-0.54413694	Yes	
row_21	PIBF1	15279	-7.7820563316345215	-0.5137078	Yes	
row_22	IFT57	15390	-8.261159896850586	-0.47049546	Yes	
row_23	PCM1	15397	-8.287391662597656	-0.42077693	Yes	
row_24	RPGRIP1L	15879	-12.075956344604492	-0.377154	Yes	
row_25	ARL13B	15923	-12.638187408447266	-0.3033998	Yes	
row_26	TBC1D32	16119	-15.916960716247559	-0.21910775	Yes	
row_27	CEP290	16154	-16.56022071838379	-0.12110148	Yes	
row_28	DCTN1	16331	-22.63388442993164	0.004943875	Yes	
