NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CPSF4	1239	7.437264442443848	-0.041782558	No	
row_1	RAE1	2339	4.563183307647705	-0.088106275	No	
row_2	ISG15	2594	4.115009307861328	-0.08487441	No	
row_3	NUP85	2743	3.859124183654785	-0.076335445	No	
row_4	NUP210	3042	3.4578208923339844	-0.07878338	No	
row_5	POM121C	3164	3.282196521759033	-0.071223326	No	
row_6	NUP93	4548	1.8149709701538086	-0.14740491	No	
row_7	NUP133	4645	1.7281861305236816	-0.14539593	No	
row_8	KPNA2	5512	1.1055067777633667	-0.19324005	No	
row_9	SEC13	6091	0.8049805164337158	-0.22486724	No	
row_10	NDC1	7055	0.34954971075057983	-0.28207722	No	
row_11	NUP160	7871	0.10348264127969742	-0.33137083	No	
row_12	NUP42	8044	0.06540520489215851	-0.3415755	No	
row_13	NUP107	8760	-0.09449896216392517	-0.3848039	No	
row_14	KPNA7	9333	-0.24936443567276	-0.41859522	No	
row_15	EIF2AK2	9551	-0.3159470856189728	-0.43040657	No	
row_16	AAAS	9571	-0.3202465772628784	-0.4301082	No	
row_17	KPNB1	10238	-0.5654140710830688	-0.46819985	No	
row_18	NUP188	10315	-0.5944989919662476	-0.47013292	No	
row_19	NUP50	11376	-1.1211447715759277	-0.5297517	No	
row_20	NUP35	11720	-1.3439174890518188	-0.544575	No	
row_21	NUP43	11859	-1.44491708278656	-0.5464207	No	
row_22	NUP155	12959	-2.3917088508605957	-0.6026342	No	
row_23	NUP54	14179	-4.160449504852295	-0.65811944	Yes	
row_24	NUP205	14521	-5.005577087402344	-0.6561439	Yes	
row_25	NUP153	14654	-5.392705917358398	-0.63964343	Yes	
row_26	NUP88	15012	-6.571969509124756	-0.63151085	Yes	
row_27	NUP37	15019	-6.611323356628418	-0.6017666	Yes	
row_28	POM121	15994	-13.708562850952148	-0.59880584	Yes	
row_29	KPNA5	16028	-14.306183815002441	-0.5356647	Yes	
row_30	RANBP2	16077	-15.17248821258545	-0.46949393	Yes	
row_31	KPNA3	16093	-15.445448875427246	-0.400065	Yes	
row_32	NUP214	16193	-17.7982234954834	-0.3250497	Yes	
row_33	KPNA1	16232	-18.79945945739746	-0.24174963	Yes	
row_34	KPNA4	16317	-21.93918800354004	-0.1469588	Yes	
row_35	TPR	16407	-33.527652740478516	3.053335E-4	Yes	
