NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ATP5F1D	14	23.039793014526367	0.055497702	Yes	
row_1	NDUFS8	85	17.371570587158203	0.093703076	Yes	
row_2	UQCRC1	172	14.744342803955078	0.12450289	Yes	
row_3	MT-ND4	201	14.207987785339355	0.15754123	Yes	
row_4	MT-ND2	207	14.084237098693848	0.19168483	Yes	
row_5	MT-ND1	288	13.009136199951172	0.21860765	Yes	
row_6	ATP5ME	449	11.365246772766113	0.23661242	Yes	
row_7	UQCC3	469	11.21282958984375	0.26287562	Yes	
row_8	MT-CO2	494	10.999201774597168	0.28831023	Yes	
row_9	NDUFAF1	594	10.328812599182129	0.30751398	Yes	
row_10	NDUFB10	748	9.481441497802734	0.32133952	Yes	
row_11	NDUFB11	877	8.828035354614258	0.3350972	Yes	
row_12	NDUFV1	885	8.761114120483398	0.35609815	Yes	
row_13	MT-CYB	924	8.62734317779541	0.37487423	Yes	
row_14	NDUFA3	955	8.509718894958496	0.39385232	Yes	
row_15	MT-ATP6	1010	8.282336235046387	0.41080514	Yes	
row_16	NDUFS2	1024	8.241819381713867	0.4301686	Yes	
row_17	MT-ND3	1056	8.091736793518066	0.4480631	Yes	
row_18	NDUFB1	1063	8.069032669067383	0.46743247	Yes	
row_19	NDUFS3	1070	8.025412559509277	0.4866951	Yes	
row_20	COX6B1	1251	7.410064697265625	0.49380133	Yes	
row_21	MT-CO3	1334	7.166480541229248	0.50631076	Yes	
row_22	NDUFA5	1418	6.923260688781738	0.51816404	Yes	
row_23	UQCR10	1480	6.70444917678833	0.5308289	Yes	
row_24	NDUFS7	1699	6.039863109588623	0.53225744	Yes	
row_25	COX7A1	1921	5.49819278717041	0.5321775	Yes	
row_26	NDUFS6	1977	5.370755672454834	0.5419474	Yes	
row_27	NDUFAB1	2128	4.992731094360352	0.5449773	Yes	
row_28	COX4I1	2320	4.598501205444336	0.54453313	Yes	
row_29	NDUFA1	2356	4.531911373138428	0.55347556	Yes	
row_30	NDUFA10	2454	4.379724025726318	0.5582505	Yes	
row_31	UQCRQ	2494	4.294443130493164	0.5663672	Yes	
row_32	NDUFA2	2529	4.24623966217041	0.5746721	Yes	
row_33	COX7C	2789	3.7969725131988525	0.5681048	Yes	
row_34	NDUFS5	2797	3.7811362743377686	0.57692486	Yes	
row_35	ATP5F1B	2809	3.7693161964416504	0.58547115	Yes	
row_36	COX5B	2900	3.630497932434082	0.588842	Yes	
row_37	COX5A	2910	3.617452621459961	0.59713924	Yes	
row_38	MT-CO1	3242	3.1581954956054688	0.58460206	Yes	
row_39	CYC1	3252	3.1458182334899902	0.59174573	Yes	
row_40	NDUFB3	3433	2.938842296600342	0.5879155	Yes	
row_41	ATP5F1E	3519	2.8370187282562256	0.58965147	Yes	
row_42	NDUFB7	3652	2.6641342639923096	0.58808756	Yes	
row_43	UQCRH	3724	2.5839531421661377	0.5900616	Yes	
row_44	ATP5PF	3730	2.5785155296325684	0.59606254	Yes	
row_45	NDUFA6	3776	2.5290958881378174	0.599494	Yes	
row_46	COX7A2	3969	2.3385605812072754	0.59346086	No	
row_47	NDUFC1	3986	2.31791090965271	0.59815097	No	
row_48	NDUFB2	4226	2.078390121459961	0.5886044	No	
row_49	UQCRB	4885	1.5491032600402832	0.5521143	No	
row_50	COX7B	4906	1.5241490602493286	0.55461806	No	
row_51	SDHC	4932	1.5055078268051147	0.55677015	No	
row_52	C2orf69	5105	1.384682536125183	0.54962814	No	
row_53	NDUFA4	5172	1.3354206085205078	0.54885435	No	
row_54	NDUFA8	5626	1.0393924713134766	0.52366656	No	
row_55	MT-ND4L	5819	0.9356750249862671	0.514202	No	
row_56	ATP5F1A	5891	0.9001001715660095	0.51205736	No	
row_57	UQCRHL	6237	0.7235172390937805	0.4927081	No	
row_58	UQCRFS1	6271	0.7042974829673767	0.4924107	No	
row_59	NDUFB9	6351	0.6713346242904663	0.4892168	No	
row_60	CYCS	6668	0.5225549936294556	0.4711512	No	
row_61	SDHB	7336	0.2579271197319031	0.430952	No	
row_62	COX6C	7439	0.2241639643907547	0.42525643	No	
row_63	NDUFB6	7643	0.16358955204486847	0.41323003	No	
row_64	NDUFB4	7655	0.16244831681251526	0.412954	No	
row_65	MT-ND5	7791	0.12415824830532074	0.40499374	No	
row_66	ATP5PB	8620	-0.061239320784807205	0.3544579	No	
row_67	ATP5F1EP2	8772	-0.09663597494363785	0.3454509	No	
row_68	NDUFV3	10143	-0.52556973695755	0.26287258	No	
row_69	UQCRC2	11057	-0.9436187148094177	0.2092918	No	
row_70	ATP5PD	12545	-1.998031497001648	0.123152986	No	
row_71	NDUFS4	13020	-2.4421286582946777	0.100110695	No	
row_72	ATP5F1C	13132	-2.5864341259002686	0.09964223	No	
row_73	NDUFS1	14224	-4.252884387969971	0.04325966	No	
row_74	NDUFA12	14599	-5.235852241516113	0.03317219	No	
row_75	MT-ND6	14811	-5.866733074188232	0.0346058	No	
row_76	MT-ATP8	16366	-25.89462661743164	0.0028160287	No	
