NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ARRB2	3477	2.9010703563690186	-0.17627364	No	
row_1	SLC9A1	4928	1.5062507390975952	-0.24612206	No	
row_2	EDN1	5481	1.1224843263626099	-0.265929	No	
row_3	APLNR	6947	0.39660802483558655	-0.35040188	No	
row_4	AKAP6	7280	0.27596238255500793	-0.3672462	No	
row_5	ADRA1A	7326	0.26004719734191895	-0.36677864	No	
row_6	MTPN	7362	0.24840079247951508	-0.3658449	No	
row_7	PDE9A	7718	0.1470601111650467	-0.3856849	No	
row_8	HAND2	8513	-0.0373367965221405	-0.43366188	No	
row_9	AGT	9195	-0.20482927560806274	-0.47267592	No	
row_10	PARP1	9235	-0.2162410467863083	-0.47238353	No	
row_11	ADRA1B	9986	-0.46651509404182434	-0.51237386	No	
row_12	PRKCA	10529	-0.6931491494178772	-0.53687507	No	
row_13	IGF1	10861	-0.8581838011741638	-0.5464652	No	
row_14	NR4A3	11849	-1.4347912073135376	-0.588951	No	
row_15	IL6ST	13519	-3.063815116882324	-0.6529163	Yes	
row_16	TRPC3	14001	-3.784642219543457	-0.63550156	Yes	
row_17	ROCK2	15337	-8.01533317565918	-0.6179162	Yes	
row_18	CAMK2D	15368	-8.186049461364746	-0.5186097	Yes	
row_19	ROCK1	16163	-16.757720947265625	-0.36001042	Yes	
row_20	MEF2A	16397	-30.363996505737305	9.151389E-4	Yes	
