NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CEP131	750	9.475593566894531	0.01682682	No	
row_1	DCTN2	2221	4.794750690460205	-0.0411845	No	
row_2	CSNK1D	3054	3.440896511077881	-0.06921582	No	
row_3	TRIM69	3131	3.32318115234375	-0.05190453	No	
row_4	STIL	8866	-0.11693660169839859	-0.40093702	No	
row_5	CEP250	8882	-0.12192146480083466	-0.40104687	No	
row_6	C2CD3	10398	-0.634395956993103	-0.4892802	No	
row_7	BBS4	10862	-0.8584770560264587	-0.5118559	No	
row_8	NUDCD3	10929	-0.8834101557731628	-0.51004785	No	
row_9	HOOK3	11891	-1.4615391492843628	-0.5590214	No	
row_10	SNX10	12558	-2.0112411975860596	-0.5863679	No	
row_11	KIAA0753	14555	-5.104387283325195	-0.67442304	Yes	
row_12	PIBF1	15279	-7.7820563316345215	-0.6671339	Yes	
row_13	PCM1	15397	-8.287391662597656	-0.6195381	Yes	
row_14	CEP78	15434	-8.520541191101074	-0.56546104	Yes	
row_15	STK3	15480	-8.839330673217773	-0.50982755	Yes	
row_16	CEP192	15852	-11.737682342529297	-0.4549399	Yes	
row_17	CCDC14	16008	-13.956092834472656	-0.37222376	Yes	
row_18	CEP83	16049	-14.658404350280762	-0.27785367	Yes	
row_19	CEP350	16209	-18.25448989868164	-0.1669931	Yes	
row_20	GOLGB1	16377	-27.150903701782227	0.0021351052	Yes	
