NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GAS2L1	191	14.36263370513916	0.05150043	No	
row_1	CEP131	750	9.475593566894531	0.05910267	No	
row_2	DCTN2	2221	4.794750690460205	-0.009560811	No	
row_3	CSNK1D	3054	3.440896511077881	-0.04522574	No	
row_4	TRIM69	3131	3.32318115234375	-0.03525167	No	
row_5	MAPRE1	5547	1.0867851972579956	-0.17791729	No	
row_6	FAM83D	5631	1.0356285572052002	-0.17843042	No	
row_7	STIL	8866	-0.11693660169839859	-0.37536412	No	
row_8	CEP250	8882	-0.12192146480083466	-0.37574378	No	
row_9	HNRNPU	9453	-0.28740113973617554	-0.40928054	No	
row_10	ABL1	10004	-0.4741349518299103	-0.44077507	No	
row_11	MID1	10088	-0.5042659044265747	-0.44362494	No	
row_12	C2CD3	10398	-0.634395956993103	-0.4597007	No	
row_13	BBS4	10862	-0.8584770560264587	-0.48419335	No	
row_14	NUDCD3	10929	-0.8834101557731628	-0.484338	No	
row_15	HOOK3	11891	-1.4615391492843628	-0.53658336	No	
row_16	SNX10	12558	-2.0112411975860596	-0.56840044	No	
row_17	MAPRE3	13166	-2.6202149391174316	-0.59393734	No	
row_18	MAPRE2	13389	-2.86810302734375	-0.5948784	No	
row_19	CHAMP1	14316	-4.502918720245361	-0.631612	No	
row_20	KIAA0753	14555	-5.104387283325195	-0.62369555	No	
row_21	PIBF1	15279	-7.7820563316345215	-0.6336147	Yes	
row_22	PCM1	15397	-8.287391662597656	-0.6043131	Yes	
row_23	CRIPT	15409	-8.371987342834473	-0.5681676	Yes	
row_24	CEP78	15434	-8.520541191101074	-0.53216267	Yes	
row_25	STK3	15480	-8.839330673217773	-0.49603787	Yes	
row_26	CEP192	15852	-11.737682342529297	-0.46707073	Yes	
row_27	DIAPH1	15901	-12.317315101623535	-0.4158342	Yes	
row_28	KIF20B	15983	-13.433111190795898	-0.36170554	Yes	
row_29	CCDC14	16008	-13.956092834472656	-0.30179694	Yes	
row_30	MID2	16016	-14.11649227142334	-0.24014506	Yes	
row_31	CEP83	16049	-14.658404350280762	-0.17763638	Yes	
row_32	CEP350	16209	-18.25448989868164	-0.10706725	Yes	
row_33	GOLGB1	16377	-27.150903701782227	0.002136684	Yes	
