NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ATP5F1D	14	23.039793014526367	0.06289695	Yes	
row_1	NDUFS8	85	17.371570587158203	0.106684335	Yes	
row_2	MT-ND4	201	14.207987785339355	0.1389655	Yes	
row_3	MT-ND2	207	14.084237098693848	0.17763206	Yes	
row_4	IMPDH1	238	13.630240440368652	0.21351333	Yes	
row_5	MT-ND1	288	13.009136199951172	0.24651386	Yes	
row_6	ATP5MC2	418	11.591507911682129	0.27069873	Yes	
row_7	ATP5ME	449	11.365246772766113	0.30031252	Yes	
row_8	NDUFB10	748	9.481441497802734	0.30832225	Yes	
row_9	NDUFB11	877	8.828035354614258	0.3249215	Yes	
row_10	NDUFV1	885	8.761114120483398	0.34873617	Yes	
row_11	NDUFA3	955	8.509718894958496	0.36806315	Yes	
row_12	MT-ATP6	1010	8.282336235046387	0.38767838	Yes	
row_13	NDUFS2	1024	8.241819381713867	0.40968916	Yes	
row_14	MT-ND3	1056	8.091736793518066	0.4301837	Yes	
row_15	NDUFB1	1063	8.069032669067383	0.45214447	Yes	
row_16	NDUFS3	1070	8.025412559509277	0.47398457	Yes	
row_17	IMPDH2	1198	7.56928014755249	0.48716187	Yes	
row_18	NDUFA5	1418	6.923260688781738	0.49292466	Yes	
row_19	ATP5MC1	1514	6.5972065925598145	0.50536937	Yes	
row_20	NDUFS7	1699	6.039863109588623	0.5108284	Yes	
row_21	TGFB1	1809	5.752485752105713	0.5200794	Yes	
row_22	VPS9D1	1929	5.4781317710876465	0.5279596	Yes	
row_23	NDUFS6	1977	5.370755672454834	0.5399463	Yes	
row_24	NDUFAB1	2128	4.992731094360352	0.5445874	Yes	
row_25	NDUFA1	2356	4.531911373138428	0.54324377	Yes	
row_26	NDUFA10	2454	4.379724025726318	0.5494302	Yes	
row_27	NDUFA2	2529	4.24623966217041	0.5566539	Yes	
row_28	ATP5MJ	2534	4.243302822113037	0.5681509	Yes	
row_29	NDUFS5	2797	3.7811362743377686	0.56258917	Yes	
row_30	ATP5F1B	2809	3.7693161964416504	0.5723464	Yes	
row_31	NDUFB3	3433	2.938842296600342	0.5423745	No	
row_32	ATP5F1E	3519	2.8370187282562256	0.545026	No	
row_33	ATP5MK	3591	2.747457504272461	0.54828596	No	
row_34	NDUFB7	3652	2.6641342639923096	0.5519881	No	
row_35	ATP5PF	3730	2.5785155296325684	0.5544137	No	
row_36	NDUFA6	3776	2.5290958881378174	0.5586596	No	
row_37	NUDT2	3911	2.3997316360473633	0.5571042	No	
row_38	NDUFC1	3986	2.31791090965271	0.558992	No	
row_39	COX11	4111	2.196995496749878	0.55748725	No	
row_40	NDUFB2	4226	2.078390121459961	0.55626583	No	
row_41	SDHC	4932	1.5055078268051147	0.51731247	No	
row_42	NDUFA8	5626	1.0393924713134766	0.47780323	No	
row_43	ATP5MC3	5646	1.0288606882095337	0.4794881	No	
row_44	MT-ND4L	5819	0.9356750249862671	0.47155732	No	
row_45	ATP5F1A	5891	0.9001001715660095	0.4697055	No	
row_46	NDUFB9	6351	0.6713346242904663	0.44348973	No	
row_47	SDHB	7336	0.2579271197319031	0.38401994	No	
row_48	NDUFB6	7643	0.16358955204486847	0.36575702	No	
row_49	NDUFB4	7655	0.16244831681251526	0.36553374	No	
row_50	MT-ND5	7791	0.12415824830532074	0.35762042	No	
row_51	ATP5PB	8620	-0.061239320784807205	0.30714768	No	
row_52	ATP5F1EP2	8772	-0.09663597494363785	0.2981796	No	
row_53	NDUFV3	10143	-0.52556973695755	0.21584186	No	
row_54	PRKAG2	10723	-0.7880024313926697	0.1826095	No	
row_55	ATP5PD	12545	-1.998031497001648	0.07676209	No	
row_56	NDUFS4	13020	-2.4421286582946777	0.054528855	No	
row_57	ATP5F1C	13132	-2.5864341259002686	0.054896764	No	
row_58	NDUFS1	14224	-4.252884387969971	-6.294271E-5	No	
row_59	NDUFA12	14599	-5.235852241516113	-0.008449476	No	
row_60	MT-ND6	14811	-5.866733074188232	-0.0051208865	No	
row_61	SLC25A13	15806	-11.299382209777832	-0.034649562	No	
row_62	MT-ATP8	16366	-25.89462661743164	0.0028136424	No	
