NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NDUFS8	85	17.371570587158203	0.022369007	Yes	
row_1	SLC25A11	159	14.962382316589355	0.041648757	Yes	
row_2	UQCRC1	172	14.744342803955078	0.064328454	Yes	
row_3	MT-ND4	201	14.207987785339355	0.08517371	Yes	
row_4	MT-ND2	207	14.084237098693848	0.10723494	Yes	
row_5	SFXN4	273	13.176556587219238	0.12416979	Yes	
row_6	MT-ND1	288	13.009136199951172	0.14397085	Yes	
row_7	FOXRED1	455	11.314356803894043	0.1517454	Yes	
row_8	UQCC3	469	11.21282958984375	0.168755	Yes	
row_9	MT-CO2	494	10.999201774597168	0.18474978	Yes	
row_10	NDUFAF1	594	10.328812599182129	0.19507383	Yes	
row_11	SLC25A22	674	9.837461471557617	0.2058458	Yes	
row_12	ETFB	699	9.71080493927002	0.21979438	Yes	
row_13	NDUFB10	748	9.481441497802734	0.23190475	Yes	
row_14	NDUFB11	877	8.828035354614258	0.23806429	Yes	
row_15	BCS1L	882	8.779190063476562	0.25176156	Yes	
row_16	NDUFV1	885	8.761114120483398	0.26555297	Yes	
row_17	MT-CYB	924	8.62734317779541	0.276921	Yes	
row_18	NDUFA3	955	8.509718894958496	0.28859356	Yes	
row_19	NDUFS2	1024	8.241819381713867	0.29750693	Yes	
row_20	MT-ND3	1056	8.091736793518066	0.30845422	Yes	
row_21	NDUFB1	1063	8.069032669067383	0.32090083	Yes	
row_22	NDUFS3	1070	8.025412559509277	0.33327812	Yes	
row_23	COX16	1165	7.689852237701416	0.3397181	Yes	
row_24	NDUFAF8	1235	7.442952632904053	0.3473013	Yes	
row_25	COX6B1	1251	7.410064697265625	0.3581486	Yes	
row_26	OXA1L	1306	7.2459187507629395	0.3663401	Yes	
row_27	MT-CO3	1334	7.166480541229248	0.3760636	Yes	
row_28	NDUFA5	1418	6.923260688781738	0.3819616	Yes	
row_29	SCO1	1439	6.843365669250488	0.39160183	Yes	
row_30	UQCR10	1480	6.70444917678833	0.39979315	Yes	
row_31	ECSIT	1501	6.628608703613281	0.4090923	Yes	
row_32	TMEM186	1533	6.526150703430176	0.4175532	Yes	
row_33	COA3	1538	6.515933513641357	0.427656	Yes	
row_34	NDUFS7	1699	6.039863109588623	0.4274222	Yes	
row_35	TMEM223	1724	5.956130027770996	0.43540767	Yes	
row_36	HCCS	1750	5.885244846343994	0.44321916	Yes	
row_37	NDUFAF3	1848	5.650955677032471	0.44623676	Yes	
row_38	COX18	1910	5.522828578948975	0.45126176	Yes	
row_39	COX7A1	1921	5.49819278717041	0.45937973	Yes	
row_40	NDUFS6	1977	5.370755672454834	0.4645317	Yes	
row_41	NDUFAB1	2128	4.992731094360352	0.463249	Yes	
row_42	DMAC2	2190	4.872682571411133	0.46724147	Yes	
row_43	GOT2	2297	4.640868663787842	0.46810213	Yes	
row_44	TMEM177	2298	4.639097213745117	0.47546986	Yes	
row_45	COX4I1	2320	4.598501205444336	0.4814834	Yes	
row_46	SURF1	2335	4.568444728851318	0.48787913	Yes	
row_47	NDUFA1	2356	4.531911373138428	0.49384832	Yes	
row_48	NDUFA10	2454	4.379724025726318	0.494847	Yes	
row_49	UQCRQ	2494	4.294443130493164	0.4992722	Yes	
row_50	NDUFA2	2529	4.24623966217041	0.50392795	Yes	
row_51	MDH2	2588	4.130163669586182	0.5069254	Yes	
row_52	COX7C	2789	3.7969725131988525	0.5006729	Yes	
row_53	NDUFS5	2797	3.7811362743377686	0.5062481	Yes	
row_54	SCO2	2860	3.6903562545776367	0.50830144	Yes	
row_55	COX5B	2900	3.630497932434082	0.5116722	Yes	
row_56	COX5A	2910	3.617452621459961	0.5168646	Yes	
row_57	TRAP1	2915	3.6137447357177734	0.52235824	Yes	
row_58	LETM1	3136	3.318251371383667	0.5141172	Yes	
row_59	UQCC5	3192	3.2433016300201416	0.51589036	Yes	
row_60	MT-CO1	3242	3.1581954956054688	0.5178969	Yes	
row_61	CYC1	3252	3.1458182334899902	0.5223403	Yes	
row_62	HSCB	3326	3.0567822456359863	0.5227118	Yes	
row_63	GOT1	3346	3.0378339290618896	0.5263696	Yes	
row_64	NDUFB3	3433	2.938842296600342	0.5257554	Yes	
row_65	TMEM126A	3498	2.8773036003112793	0.5263946	Yes	
row_66	NDUFB7	3652	2.6641342639923096	0.5212294	No	
row_67	UQCRH	3724	2.5839531421661377	0.52097285	No	
row_68	NDUFA6	3776	2.5290958881378174	0.5218574	No	
row_69	COX17	3824	2.481537103652954	0.5229121	No	
row_70	COX7A2	3969	2.3385605812072754	0.5177825	No	
row_71	NDUFC1	3986	2.31791090965271	0.52048117	No	
row_72	COX11	4111	2.196995496749878	0.5163551	No	
row_73	COQ10A	4171	2.128913640975952	0.5161128	No	
row_74	DMAC1	4189	2.1145179271698	0.51842695	No	
row_75	NDUFB2	4226	2.078390121459961	0.51951694	No	
row_76	MDH1	4597	1.7649555206298828	0.49959692	No	
row_77	RAB5IF	4644	1.728192925453186	0.49951658	No	
row_78	UQCC6	4695	1.6944788694381714	0.499137	No	
row_79	UQCRB	4885	1.5491032600402832	0.4899901	No	
row_80	TIMM21	4905	1.5243457555770874	0.49124414	No	
row_81	COX7B	4906	1.5241490602493286	0.49366477	No	
row_82	SDHC	4932	1.5055078268051147	0.49452046	No	
row_83	COA5	5057	1.4155977964401245	0.48915336	No	
row_84	NDUFA4	5172	1.3354206085205078	0.48427308	No	
row_85	SLC25A18	5176	1.332993507385254	0.48620588	No	
row_86	NDUFAF4	5422	1.1629408597946167	0.47300646	No	
row_87	ETFA	5485	1.1189136505126953	0.47097585	No	
row_88	NDUFA8	5626	1.0393924713134766	0.46402866	No	
row_89	COX19	6234	0.7242619395256042	0.4279008	No	
row_90	UQCRHL	6237	0.7235172390937805	0.42892703	No	
row_91	UQCRFS1	6271	0.7042974829673767	0.42801893	No	
row_92	NDUFB9	6351	0.6713346242904663	0.42423344	No	
row_93	COQ10B	6574	0.5602425932884216	0.41148937	No	
row_94	CYCS	6668	0.5225549936294556	0.40660778	No	
row_95	COX7A2L	6714	0.49625176191329956	0.4046323	No	
row_96	LYRM7	6956	0.39305099844932556	0.39045584	No	
row_97	TIMMDC1	7314	0.26609957218170166	0.36895373	No	
row_98	SDHB	7336	0.2579271197319031	0.36807367	No	
row_99	COX6C	7439	0.2241639643907547	0.36216548	No	
row_100	UQCC2	7520	0.1946999877691269	0.35756162	No	
row_101	NDUFB6	7643	0.16358955204486847	0.35032895	No	
row_102	NDUFB4	7655	0.16244831681251526	0.3499114	No	
row_103	MT-ND5	7791	0.12415824830532074	0.3418177	No	
row_104	ETFDH	8853	-0.11442545056343079	0.27683946	No	
row_105	HSPA9	9376	-0.26363328099250793	0.24520019	No	
row_106	TACO1	9785	-0.3930352032184601	0.22076759	No	
row_107	NDUFV3	10143	-0.52556973695755	0.19967759	No	
row_108	TTC19	10235	-0.5642160177230835	0.194985	No	
row_109	UQCC1	10922	-0.8815943598747253	0.1542553	No	
row_110	UQCRC2	11057	-0.9436187148094177	0.1475245	No	
row_111	NDUFAF7	11798	-1.400697112083435	0.10430288	No	
row_112	NUBPL	11845	-1.431188702583313	0.10375084	No	
row_113	TMEM126B	11866	-1.4500832557678223	0.10482556	No	
row_114	SLC25A12	11979	-1.5255078077316284	0.10037	No	
row_115	SMIM20	12536	-1.9901436567306519	0.06938466	No	
row_116	LYRM2	12763	-2.2042956352233887	0.059005972	No	
row_117	NDUFS4	13020	-2.4421286582946777	0.047162592	No	
row_118	NDUFAF6	13267	-2.7362546920776367	0.036400475	No	
row_119	COX20	13823	-3.5005111694335938	0.007875286	No	
row_120	NDUFS1	14224	-4.252884387969971	-0.009935868	No	
row_121	NDUFA12	14599	-5.235852241516113	-0.024589134	No	
row_122	LYRM4	14793	-5.808566570281982	-0.027216941	No	
row_123	MT-ND6	14811	-5.866733074188232	-0.018943548	No	
row_124	ACAD9	15401	-8.3383150100708	-0.041873503	No	
row_125	NDUFAF5	15588	-9.573982238769531	-0.038091253	No	
row_126	SLC25A13	15806	-11.299382209777832	-0.033472586	No	
row_127	NDUFAF2	15973	-13.294843673706055	-0.022552669	No	
row_128	CMC1	16045	-14.587663650512695	-0.003745213	No	
row_129	COA1	16149	-16.511016845703125	0.016151633	No	
