NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RAB35	58	18.583194732666016	0.094855666	Yes	
row_1	TBC1D25	93	17.013879776000977	0.18286763	Yes	
row_2	ULK1	239	13.629254341125488	0.24617854	Yes	
row_3	RAB5B	269	13.197365760803223	0.31428742	Yes	
row_4	RAB11B	293	12.941646575927734	0.38140875	Yes	
row_5	GGA1	311	12.713028907775879	0.447686	Yes	
row_6	TBC1D13	513	10.910582542419434	0.49318126	Yes	
row_7	TSC2	787	9.249371528625488	0.5254829	Yes	
row_8	TBC1D10C	1300	7.258664608001709	0.53264654	Yes	
row_9	RABGEF1	1453	6.789406776428223	0.55931294	Yes	
row_10	RAB5A	1469	6.755860805511475	0.5941691	Yes	
row_11	SYTL1	1485	6.690535068511963	0.62867934	Yes	
row_12	RAB7A	2147	4.945736885070801	0.6144957	No	
row_13	TBC1D10A	2522	4.251107692718506	0.61416286	No	
row_14	TBC1D17	2826	3.747645378112793	0.61550057	No	
row_15	RAB11A	4007	2.2983529567718506	0.55560046	No	
row_16	RAB4A	4494	1.853046178817749	0.53572935	No	
row_17	RAB6A	4648	1.7265785932540894	0.53552693	No	
row_18	ARF6	4947	1.4941847324371338	0.525238	No	
row_19	TBC1D20	5053	1.4186809062957764	0.5263369	No	
row_20	GGA2	5095	1.3912591934204102	0.53119946	No	
row_21	TBC1D16	5118	1.3752140998840332	0.53713757	No	
row_22	OPTN	5986	0.855151891708374	0.48871258	No	
row_23	RAB7B	6185	0.7535862922668457	0.48060971	No	
row_24	GGA3	6211	0.7372024059295654	0.4829863	No	
row_25	TBC1D2	8726	-0.08721901476383209	0.32990268	No	
row_26	GABARAPL2	8915	-0.12986890971660614	0.319108	No	
row_27	TBC1D10B	9354	-0.25582265853881836	0.29371122	No	
row_28	RAB8A	10042	-0.48993125557899475	0.25434607	No	
row_29	TBC1D24	10295	-0.5872878432273865	0.24206458	No	
row_30	RAB6B	10817	-0.8362157344818115	0.21467167	No	
row_31	TBC1D15	11708	-1.334532380104065	0.16738024	No	
row_32	TBC1D7	11882	-1.4574863910675049	0.16453145	No	
row_33	MAP1LC3B	11996	-1.5361021757125854	0.16576351	No	
row_34	RABEP1	12086	-1.6084641218185425	0.16884457	No	
row_35	RAB33B	12407	-1.8683358430862427	0.15919304	No	
row_36	RAB8B	13055	-2.4923508167266846	0.13287376	No	
row_37	RABGAP1	13317	-2.790618896484375	0.13170922	No	
row_38	TSC1	13751	-3.3774876594543457	0.12314705	No	
row_39	TBC1D14	15203	-7.425014495849609	0.07384101	No	
